od_pair,n_users
8a194ad139a7fff -> 8a194ad0858ffff,1
8a195da4e457fff -> 8a195da4e8cffff,1
8a194ad044affff -> 8a194ad009b7fff,1
8a194e6a3317fff -> 8a194e682ccffff,1
8a195dad8b57fff -> 8a195dad8b57fff,1
8a195da680effff -> 8a194ad304e7fff,1
8a194e6e3b57fff -> 8a194e651a97fff,1
8a194ad2c1b7fff -> 8a194ad23b07fff,1
8a194e7996d7fff -> 8a194e6a64cffff,1
8a194ad1856ffff -> 8a195da49d5ffff,1
8a194e6ab29ffff -> 8a195db6b8d7fff,1
8a195da4bc67fff -> 8a194ad3079ffff,1
8a194ad912cffff -> 8a194adb104ffff,1
8a195da48317fff -> 8a195da48317fff,1
8a194ad03b6ffff -> 8a194e6de247fff,1
8a194ad8ccc7fff -> 8a194ada1c8ffff,1
8a194e68874ffff -> 8a194e6aa08ffff,1
8a194ac1409ffff -> 8a194ad02727fff,1
8a194ac04cb7fff -> 8a194ac065b7fff,1
8a194e6ad637fff -> 8a194ad33d9ffff,1
8a195daf266ffff -> 8a195da5bc87fff,1
8a194aca4d37fff -> 8a194ad88597fff,1
8a194ad9d80ffff -> 8a194ad9d80ffff,1
8a194e6ad48ffff -> 8a194e69b2a7fff,1
8a194e6a9c4ffff -> 8a195da5e017fff,1
8a194ad0985ffff -> 8a194ad09497fff,1
8a194ac3435ffff -> 8a194adaba77fff,1
8a194e6ce60ffff -> 8a194ad0e15ffff,1
8a194e61d39ffff -> 8a194e6ae567fff,1
8a194adae6e7fff -> 8a195dad9a9ffff,1
8a195dada6effff -> 8a195dada2f7fff,1
8a194ac11607fff -> 8a194acae28ffff,1
8a194e61d75ffff -> 8a194e60e6effff,1
8a194ad01717fff -> 8a194ad01807fff,1
8a194ad354cffff -> 8a195da592dffff,1
8a194e693687fff -> 8a194e69eb2ffff,1
8a194ad118affff -> 8a194ad1431ffff,1
8a194ad7081ffff -> 8a194e6d862ffff,1
8a194ac0c42ffff -> 8a195da75b5ffff,1
8a194acac597fff -> 8a195d34d607fff,1
8a194adb2ce7fff -> 8a194adb4b1ffff,1
8a194ad909affff -> 8a194ad9d767fff,1
8a194ac0c49ffff -> 8a194ad30187fff,1
8a194e6c2247fff -> 8a194e6d164ffff,1
8a194e6c661ffff -> 8a194e6ebce7fff,1
8a194ad2d54ffff -> 8a194e6de247fff,1
8a194e6c2b2ffff -> 8a195da4015ffff,1
8a194ad05c77fff -> 8a194ad3340ffff,1
8a195dae5237fff -> 8a195dae5397fff,1
8a194e6de327fff -> 8a194e6dabaffff,1
8a195da4412ffff -> 8a195da18637fff,1
8a195da69597fff -> 8a194ada6947fff,1
8a194e6ca64ffff -> 8a194e6c16f7fff,1
8a194e68a927fff -> 8a194e68bd87fff,1
8a195d343b47fff -> 8a195d362b4ffff,1
8a194ad2b09ffff -> 8a194ad2d56ffff,1
8a194e6023b7fff -> 8a194e61e8b7fff,1
8a194e6a8277fff -> 8a194e6a825ffff,1
8a194ad9626ffff -> 8a195da4c6b7fff,1
8a195da4a547fff -> 8a194adb06dffff,1
8a195dac56c7fff -> 8a194e6ea4e7fff,1
8a195da53997fff -> 8a195da08c0ffff,1
8a195da6e877fff -> 8a194e79298ffff,1
8a194ada1807fff -> 8a194ad16d57fff,1
8a195da60627fff -> 8a195da62d67fff,1
8a195daea5a7fff -> 8a194adb3537fff,1
8a195daca807fff -> 8a195dadc087fff,1
8a194ad1c46ffff -> 8a194ad020e7fff,1
8a194a8b6047fff -> 8a194a8b6047fff,1
8a195da5ec47fff -> 8a195da5adb7fff,1
8a194ada0887fff -> 8a194ad916b7fff,1
8a194ad29427fff -> 8a194e6c11b7fff,1
8a194e68cc97fff -> 8a194e71a42ffff,1
8a195da08a37fff -> 8a195da0d207fff,1
8a195d36a12ffff -> 8a194ad9cb57fff,1
8a195da4e507fff -> 8a194ad301b7fff,1
8a194ac02337fff -> 8a194ac33a0ffff,1
8a194ad9614ffff -> 8a195da4ac77fff,1
8a195db6976ffff -> 8a194e79a537fff,1
8a194ac1ed17fff -> 8a194ac166affff,1
8a194ad64d07fff -> 8a194e699caffff,1
8a194aca4da7fff -> 8a194ad8a96ffff,1
8a195da52747fff -> 8a195d3606a7fff,1
8a194ad1bd0ffff -> 8a194adae957fff,1
8a195da52967fff -> 8a195d8ddcd7fff,1
8a194e613267fff -> 8a194e69dc6ffff,1
8a194e6a1147fff -> 8a195da5c817fff,1
8a194adb188ffff -> 8a194adb14b7fff,1
8a194e69c44ffff -> 8a194e69c6a7fff,1
8a195d34bcaffff -> 8a195d264b8ffff,1
8a194ada1357fff -> 8a194ad16da7fff,1
8a194e6c385ffff -> 8a194e6c342ffff,1
8a194ac2619ffff -> 8a194ac21807fff,1
8a194e6c6567fff -> 8a194e6f1787fff,1
8a194ad1dd5ffff -> 8a194ad1d7affff,1
8a194ac9d82ffff -> 8a194ac9d82ffff,1
8a194ad34b17fff -> 8a194ad14c87fff,1
8a194e6a9c4ffff -> 8a194e6ab00ffff,1
8a194adb5da7fff -> 8a194ad32447fff,1
8a195da1e257fff -> 8a195db8b687fff,1
8a195dadb96ffff -> 8a195d3682b7fff,1
8a194ad860b7fff -> 8a194ad86027fff,1
8a194e6a3aeffff -> 8a194e6867b7fff,1
8a195d265c87fff -> 8a194ac90c27fff,1
8a194ad86027fff -> 8a194ada2337fff,1
8a194ad2a70ffff -> 8a194ad3391ffff,1
8a194acb60effff -> 8a194acb0967fff,1
8a195d34142ffff -> 8a194ad92cdffff,1
8a194e61c067fff -> 8a195da4d677fff,1
8a195da68cb7fff -> 8a194e6e8007fff,1
8a194e61c027fff -> 8a194e743837fff,1
8a195dadc677fff -> 8a195d3640a7fff,1
8a195da448f7fff -> 8a195da54467fff,1
8a194ada28affff -> 8a194ad306f7fff,1
8a194ac33acffff -> 8a194ac26997fff,1
8a195db48387fff -> 8a195da65a5ffff,1
8a194e6c1687fff -> 8a194e6ccc87fff,1
8a194ac02b4ffff -> 8a194ac268f7fff,1
8a195dac8167fff -> 8a195dad9737fff,1
8a194ada0287fff -> 8a194ada1d0ffff,1
8a194e68855ffff -> 8a194e68830ffff,1
8a194e692397fff -> 8a194e6926f7fff,1
8a195d36eb07fff -> 8a195d3686c7fff,1
8a194ad90687fff -> 8a195dadc087fff,1
8a195da65ab7fff -> 8a194e781d2ffff,1
8a194e6a2517fff -> 8a195da65917fff,1
8a195dae378ffff -> 8a195dae378ffff,1
8a194e615a4ffff -> 8a194e602247fff,1
8a194e68322ffff -> 8a194e68322ffff,1
8a194ad2369ffff -> 8a194ad246b7fff,1
8a194ac366cffff -> 8a194ad1a4d7fff,1
8a195da7460ffff -> 8a195da7542ffff,1
8a194ad11b0ffff -> 8a194ad3664ffff,1
8a194ad100f7fff -> 8a194ada4037fff,1
8a194ac2e82ffff -> 8a194a953d8ffff,1
8a194ac30caffff -> 8a194ad2ac2ffff,1
8a194ad9b767fff -> 8a194aca6c97fff,1
8a194e61e32ffff -> 8a194e619d6ffff,1
8a194ad04947fff -> 8a194ad2005ffff,1
8a194ac1086ffff -> 8a194ada9307fff,1
8a194e6d4127fff -> 8a194e6c650ffff,1
8a195dadbb37fff -> 8a194ada3c87fff,1
8a194ac36847fff -> 8a194ad8c957fff,1
8a195da1a8cffff -> 8a195dd45a07fff,1
8a194ad1d737fff -> 8a194ac24daffff,1
8a195d366c1ffff -> 8a195dad9c27fff,1
8a194ac36267fff -> 8a194ad1876ffff,1
8a194ad9bc17fff -> 8a194ad30057fff,1
8a194e6d852ffff -> 8a194e6c122ffff,1
8a195da50b47fff -> 8a195da50b57fff,1
8a194e602617fff -> 8a194ad21d27fff,1
8a194ac24007fff -> 8a195d78d19ffff,1
8a194ac34b17fff -> 8a194adab4a7fff,1
8a194e6f4507fff -> 8a194e6f4987fff,1
8a195da1e947fff -> 8a195da180c7fff,1
8a194ada499ffff -> 8a194ad30667fff,1
8a194ac2a3b7fff -> 8a194ac0c887fff,1
8a194ad1306ffff -> 8a194adad9a7fff,1
8a194ad896d7fff -> 8a194ac16d57fff,1
8a194ac0ed07fff -> 8a194ac23c97fff,1
8a194adac197fff -> 8a194ac2421ffff,1
8a194e6c0947fff -> 8a194e6c381ffff,1
8a194ad2cae7fff -> 8a194ad2d91ffff,1
8a194e691da7fff -> 8a194e68240ffff,1
8a194ad52277fff -> 8a194ad5231ffff,1
8a195d36a2dffff -> 8a195d46988ffff,1
